YEARCOM,NUTS3,CITY,TIME,NRVIC_cat,NRPERP,CRIMESCENE,MODUS,TYPEHOM,RELAT,PROCESS,TYPE,PRINCIPAL,GENDER_vic,GENDER_perp,AGE_vic,AGE_perp,BIRTHCOUNTRY_vic,BIRTHCOUNTRY_perp,SUICIDE
2017,Noordoost-Noord-Brabant,Urban,Afternoon (12-6,Single,Single,Private home,Firearm,Partner killing,"Ex-Partner(Wife, Husband, Girlfriend, Boyfriend)",Solved,Victim,"Yes, principal victim",Male,Male,18to24,25to39,Missing,Missing,No
2011,Agglomeratie ’s-Gravenhage,Rural,Afternoon (12-6,Multiple,Single,"Street, road, public transportation or other public place",Firearm,Criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Unsolved,Victim,"Yes, principal victim",Female,Male,40to64,Missing,Netherlands,Netherlands,No
2013,Groot-Rijnmond,Urban,Night (12-6),Single,Single,"Street, road, public transportation or other public place",Firearm,Criminal milieu,(Step)Child,Solved,Victim,"Yes, principal victim",Male,Male,18to24,18to24,Netherlands,Netherlands,No
2019,Groot-Amsterdam,Urban,Evening (6-12),Single,Missing,Private home,"Hitting, kicking or other similar physical violence without weapon,",Missing,Partner,Solved,Victim,"Yes, principal victim",Female,Missing,25to39,40to64,Missing,Other non-European,Missing
2020,West-Noord-Brabant,Urban,Night (12-6),Single,Single,Private home,Knife or other sharp object/weapon,Criminal milieu,Partner,Solved,Victim,"Yes, principal victim",Female,Male,40to64,25to39,Missing,Missing,No
2012,Noordoost-Noord-Brabant,Urban,Afternoon (12-6,Single,Multiple,"Street, road, public transportation or other public place","Hitting, kicking or other similar physical violence without weapon,",Criminal milieu,(Step)Child,Solved,Victim,"Yes, principal victim",Male,Male,25to39,18to24,Missing,Other non-European,No
2012,Groot-Rijnmond,Rural,Afternoon (12-6,Single,Multiple,Private home,Hanging/Strangulation/Suffocation,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,40to64,18to24,Missing,Other non-European,No
2020,Agglomeratie ’s-Gravenhage,Urban,Morning (6-12),Single,Multiple,"Street, road, public transportation or other public place","Hitting, kicking or other similar physical violence without weapon,",Partner killing,Partner,Solved,Victim,"Yes, principal victim",Male,Male,>=65,18to24,Missing,Missing,No
2018,Zuidoost-Zuid-Holland,Missing,Morning (6-12),Single,Single,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Other,"Ex-Partner(Wife, Husband, Girlfriend, Boyfriend)",Solved,Victim,"Yes, principal victim",Female,Male,25to39,18to24,Missing,Other non-European,No
2011,Groot-Amsterdam,Urban,Missing,Multiple,Single,Missing,Firearm,Partner killing,Friend or longtime acquaintance,Solved,Victim,"Yes, principal victim",Male,Female,18to24,18to24,Other Europe,Missing,Missing
2013,Zuidoost-Drenthe,Urban,Night (12-6),Single,Single,Private home,Firearm,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,18to24,40to64,Missing,Netherlands,No
2016,Groot-Amsterdam,Missing,Missing,Multiple,Single,"Street, road, public transportation or other public place",Firearm,Other familial killing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Netherlands,Other non-European,No
2013,Groot-Rijnmond,Urban,Morning (6-12),Multiple,Single,"Park, forest or recreational area",Firearm,Other familial killing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Netherlands,Other non-European,No
2014,Flevoland,Urban,Afternoon (12-6,Single,Single,Private home,Hanging/Strangulation/Suffocation,Criminal milieu,(Step)Parent,Solved,Victim,"Yes, principal victim",Female,Male,18to24,18to24,Missing,Netherlands,No
2018,Noordoost-Noord-Brabant,Urban,Evening (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Partner killing,Missing,Solved,Victim,"Yes, principal victim",Female,Female,7to17,25to39,Missing,Other Europe,Missing
2012,Groot-Rijnmond,Urban,Evening (6-12),Single,Multiple,Other,Hanging/Strangulation/Suffocation,Other familial killing,Missing,Solved,Victim,"Yes, principal victim",Female,Male,40to64,18to24,Other non-European,Netherlands,No
2019,Zuidoost-Zuid-Holland,Urban,Morning (6-12),Single,Single,"Park, forest or recreational area",Firearm,Other in non-criminal milieu,Partner,Unsolved,Victim,"Yes, principal victim",Male,Female,40to64,40to64,Other Europe,Missing,Suicide attempt only
2018,Zuidwest-Drenthe,Urban,Missing,Single,Single,"Street, road, public transportation or other public place",Firearm,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Female,25to39,Missing,Missing,Missing,No
2013,Delft en Westland,Missing,Missing,Single,Single,Private home,Hanging/Strangulation/Suffocation,Robbery killing,"Ex-Partner(Wife, Husband, Girlfriend, Boyfriend)",Solved,Victim,"Yes, principal victim",Male,Female,>=65,Missing,Other non-European,Missing,Suicide attempt only
2012,Groot-Rijnmond,Missing,Missing,Multiple,Single,Private home,Firearm,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,<=6,40to64,Netherlands,Netherlands,Yes
2019,Utrecht,Urban,Evening (6-12),Single,Missing,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Criminal milieu,Missing,Unsolved,Victim,"Yes, principal victim",Male,Male,40to64,Missing,Netherlands,Netherlands,No
2011,Zuidoost-Friesland,Rural,Night (12-6),Multiple,Missing,"Street, road, public transportation or other public place",Blunt object,Criminal milieu,(Step)Child,Unsolved,Victim,No,Male,Male,18to24,Missing,Netherlands,Netherlands,Missing
2012,Noordoost-Noord-Brabant,Urban,Missing,Multiple,Single,Private home,Knife or other sharp object/weapon,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Missing,<=6,25to39,Netherlands,Other non-European,No
2019,Groot-Rijnmond,Urban,Missing,Single,Multiple,Private home,Firearm,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,<=6,25to39,Missing,Missing,No
2013,Agglomeratie ’s-Gravenhage,Urban,Night (12-6),Single,Single,Private home,Knife or other sharp object/weapon,Other in non-criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Female,Male,25to39,40to64,Netherlands,Netherlands,Missing
2014,Midden-Limburg,Urban,Missing,Multiple,Multiple,"Street, road, public transportation or other public place",Firearm,Other familial killing,Perpetrator and victim do not know each other,Solved,Victim,No,Male,Male,40to64,25to39,Missing,Netherlands,No
2014,Arnhem/Nijmegen,Urban,Night (12-6),Single,Multiple,Private home,Firearm,Robbery killing,"Ex-Partner(Wife, Husband, Girlfriend, Boyfriend)",Solved,Victim,"Yes, principal victim",Female,Male,40to64,18to24,Netherlands,Missing,No
2014,Groot-Amsterdam,Urban,Evening (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Robbery killing,Missing,Solved,Victim,"Yes, principal victim",Female,Male,<=6,25to39,Other non-European,Missing,Missing
2013,Agglomeratie ’s-Gravenhage,Urban,Morning (6-12),Single,Single,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Partner killing,The perpetrator and victim are slightly known to each other (not friends),Unsolved,Victim,"Yes, principal victim",Male,Male,>=65,40to64,Missing,Missing,Missing
2011,Twente,Urban,Evening (6-12),Single,Multiple,Private home,Firearm,Other familial killing,(Step)Child,Solved,Victim,"Yes, principal victim",Male,Male,>=65,18to24,Netherlands,Netherlands,No
2014,Noord-Friesland,Urban,Night (12-6),Single,Multiple,Private home,Missing,Criminal milieu,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Female,Male,40to64,Missing,Missing,Netherlands,No
2017,Zuid-Limburg,Urban,Morning (6-12),Single,Missing,Private home,Firearm,Missing,Missing,Unsolved,Victim,"Yes, principal victim",Male,Male,40to64,18to24,Missing,Missing,No
2011,West-Noord-Brabant,Urban,Evening (6-12),Single,Multiple,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Criminal milieu,(Step)Parent,Solved,Victim,"Yes, principal victim",Male,Male,40to64,Missing,Missing,Netherlands,No
2017,Groot-Amsterdam,Urban,Missing,Single,Single,Private home,"Hitting, kicking or other similar physical violence without weapon,",Missing,Missing,Unsolved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Missing,Missing,No
2019,Groot-Amsterdam,Rural,Night (12-6),Single,Single,Private home,Hanging/Strangulation/Suffocation,Criminal milieu,(Step)Child,Unsolved,Victim,"Yes, principal victim",Male,Female,25to39,40to64,Missing,Missing,No
2012,Arnhem/Nijmegen,Urban,Night (12-6),Single,Missing,"Park, forest or recreational area",Motor vehicle,Child killing (family and non-family),Missing,Solved,Victim,"Yes, principal victim",Male,Male,7to17,Missing,Netherlands,Netherlands,Missing
2020,Groot-Amsterdam,Urban,Afternoon (12-6,Single,Single,Private home,Knife or other sharp object/weapon,Missing,Partner,Solved,Victim,"Yes, principal victim",Female,Male,>=65,40to64,Other non-European,Missing,Missing
